"Aid_Year","Enrollment_Status","COA_Min","COA_Max","EFC_Min","EFC_Max","Pell_Amount"
"2021-2022","FULL_TIME","600","699","0","0","650"
"2021-2022","FULL_TIME","700","799","0","0","750"
"2021-2022","FULL_TIME","700","799","1","100","700"
"2021-2022","FULL_TIME","800","899","0","0","850"
"2021-2022","FULL_TIME","800","899","1","100","800"
"2021-2022","FULL_TIME","800","899","101","200","700"
"2021-2022","FULL_TIME","900","999","0","0","950"
"2021-2022","FULL_TIME","900","999","1","100","900"
"2021-2022","FULL_TIME","900","999","101","200","800"
"2021-2022","FULL_TIME","900","999","201","300","700"
"2021-2022","FULL_TIME","1000","1099","0","0","1050"
"2021-2022","FULL_TIME","1000","1099","1","100","1000"
"2021-2022","FULL_TIME","1000","1099","101","200","900"
"2021-2022","FULL_TIME","1000","1099","201","300","800"
"2021-2022","FULL_TIME","1000","1099","301","400","700"
"2021-2022","FULL_TIME","1100","1199","0","0","1150"
"2021-2022","FULL_TIME","1100","1199","1","100","1100"
"2021-2022","FULL_TIME","1100","1199","101","200","1000"
"2021-2022","FULL_TIME","1100","1199","201","300","900"
"2021-2022","FULL_TIME","1100","1199","301","400","800"
"2021-2022","FULL_TIME","1100","1199","401","500","700"
"2021-2022","FULL_TIME","1200","1299","0","0","1250"
"2021-2022","FULL_TIME","1200","1299","1","100","1200"
"2021-2022","FULL_TIME","1200","1299","101","200","1100"
"2021-2022","FULL_TIME","1200","1299","201","300","1000"
"2021-2022","FULL_TIME","1200","1299","301","400","900"
"2021-2022","FULL_TIME","1200","1299","401","500","800"
"2021-2022","FULL_TIME","1200","1299","501","600","700"
"2021-2022","FULL_TIME","1300","1399","0","0","1350"
"2021-2022","FULL_TIME","1300","1399","1","100","1300"
"2021-2022","FULL_TIME","1300","1399","101","200","1200"
"2021-2022","FULL_TIME","1300","1399","201","300","1100"
"2021-2022","FULL_TIME","1300","1399","301","400","1000"
"2021-2022","FULL_TIME","1300","1399","401","500","900"
"2021-2022","FULL_TIME","1300","1399","501","600","800"
"2021-2022","FULL_TIME","1300","1399","601","700","700"
"2021-2022","FULL_TIME","1400","1499","0","0","1450"
"2021-2022","FULL_TIME","1400","1499","1","100","1400"
"2021-2022","FULL_TIME","1400","1499","101","200","1300"
"2021-2022","FULL_TIME","1400","1499","201","300","1200"
"2021-2022","FULL_TIME","1400","1499","301","400","1100"
"2021-2022","FULL_TIME","1400","1499","401","500","1000"
"2021-2022","FULL_TIME","1400","1499","501","600","900"
"2021-2022","FULL_TIME","1400","1499","601","700","800"
"2021-2022","FULL_TIME","1400","1499","701","800","700"
"2021-2022","FULL_TIME","1500","1599","0","0","1550"
"2021-2022","FULL_TIME","1500","1599","1","100","1500"
"2021-2022","FULL_TIME","1500","1599","101","200","1400"
"2021-2022","FULL_TIME","1500","1599","201","300","1300"
"2021-2022","FULL_TIME","1500","1599","301","400","1200"
"2021-2022","FULL_TIME","1500","1599","401","500","1100"
"2021-2022","FULL_TIME","1500","1599","501","600","1000"
"2021-2022","FULL_TIME","1500","1599","601","700","900"
"2021-2022","FULL_TIME","1500","1599","701","800","800"
"2021-2022","FULL_TIME","1500","1599","801","900","700"
"2021-2022","FULL_TIME","1600","1699","0","0","1650"
"2021-2022","FULL_TIME","1600","1699","1","100","1600"
"2021-2022","FULL_TIME","1600","1699","101","200","1500"
"2021-2022","FULL_TIME","1600","1699","201","300","1400"
"2021-2022","FULL_TIME","1600","1699","301","400","1300"
"2021-2022","FULL_TIME","1600","1699","401","500","1200"
"2021-2022","FULL_TIME","1600","1699","501","600","1100"
"2021-2022","FULL_TIME","1600","1699","601","700","1000"
"2021-2022","FULL_TIME","1600","1699","701","800","900"
"2021-2022","FULL_TIME","1600","1699","801","900","800"
"2021-2022","FULL_TIME","1600","1699","901","1000","700"
"2021-2022","FULL_TIME","1700","1799","0","0","1750"
"2021-2022","FULL_TIME","1700","1799","1","100","1700"
"2021-2022","FULL_TIME","1700","1799","101","200","1600"
"2021-2022","FULL_TIME","1700","1799","201","300","1500"
"2021-2022","FULL_TIME","1700","1799","301","400","1400"
"2021-2022","FULL_TIME","1700","1799","401","500","1300"
"2021-2022","FULL_TIME","1700","1799","501","600","1200"
"2021-2022","FULL_TIME","1700","1799","601","700","1100"
"2021-2022","FULL_TIME","1700","1799","701","800","1000"
"2021-2022","FULL_TIME","1700","1799","801","900","900"
"2021-2022","FULL_TIME","1700","1799","901","1000","800"
"2021-2022","FULL_TIME","1700","1799","1001","1100","700"
"2021-2022","FULL_TIME","1800","1899","0","0","1850"
"2021-2022","FULL_TIME","1800","1899","1","100","1800"
"2021-2022","FULL_TIME","1800","1899","101","200","1700"
"2021-2022","FULL_TIME","1800","1899","201","300","1600"
"2021-2022","FULL_TIME","1800","1899","301","400","1500"
"2021-2022","FULL_TIME","1800","1899","401","500","1400"
"2021-2022","FULL_TIME","1800","1899","501","600","1300"
"2021-2022","FULL_TIME","1800","1899","601","700","1200"
"2021-2022","FULL_TIME","1800","1899","701","800","1100"
"2021-2022","FULL_TIME","1800","1899","801","900","1000"
"2021-2022","FULL_TIME","1800","1899","901","1000","900"
"2021-2022","FULL_TIME","1800","1899","1001","1100","800"
"2021-2022","FULL_TIME","1800","1899","1101","1200","700"
"2021-2022","FULL_TIME","1900","1999","0","0","1950"
"2021-2022","FULL_TIME","1900","1999","1","100","1900"
"2021-2022","FULL_TIME","1900","1999","101","200","1800"
"2021-2022","FULL_TIME","1900","1999","201","300","1700"
"2021-2022","FULL_TIME","1900","1999","301","400","1600"
"2021-2022","FULL_TIME","1900","1999","401","500","1500"
"2021-2022","FULL_TIME","1900","1999","501","600","1400"
"2021-2022","FULL_TIME","1900","1999","601","700","1300"
"2021-2022","FULL_TIME","1900","1999","701","800","1200"
"2021-2022","FULL_TIME","1900","1999","801","900","1100"
"2021-2022","FULL_TIME","1900","1999","901","1000","1000"
"2021-2022","FULL_TIME","1900","1999","1001","1100","900"
"2021-2022","FULL_TIME","1900","1999","1101","1200","800"
"2021-2022","FULL_TIME","1900","1999","1201","1300","700"
"2021-2022","FULL_TIME","2000","2099","0","0","2050"
"2021-2022","FULL_TIME","2000","2099","1","100","2000"
"2021-2022","FULL_TIME","2000","2099","101","200","1900"
"2021-2022","FULL_TIME","2000","2099","201","300","1800"
"2021-2022","FULL_TIME","2000","2099","301","400","1700"
"2021-2022","FULL_TIME","2000","2099","401","500","1600"
"2021-2022","FULL_TIME","2000","2099","501","600","1500"
"2021-2022","FULL_TIME","2000","2099","601","700","1400"
"2021-2022","FULL_TIME","2000","2099","701","800","1300"
"2021-2022","FULL_TIME","2000","2099","801","900","1200"
"2021-2022","FULL_TIME","2000","2099","901","1000","1100"
"2021-2022","FULL_TIME","2000","2099","1001","1100","1000"
"2021-2022","FULL_TIME","2000","2099","1101","1200","900"
"2021-2022","FULL_TIME","2000","2099","1201","1300","800"
"2021-2022","FULL_TIME","2000","2099","1301","1400","700"
"2021-2022","FULL_TIME","2100","2199","0","0","2150"
"2021-2022","FULL_TIME","2100","2199","1","100","2100"
"2021-2022","FULL_TIME","2100","2199","101","200","2000"
"2021-2022","FULL_TIME","2100","2199","201","300","1900"
"2021-2022","FULL_TIME","2100","2199","301","400","1800"
"2021-2022","FULL_TIME","2100","2199","401","500","1700"
"2021-2022","FULL_TIME","2100","2199","501","600","1600"
"2021-2022","FULL_TIME","2100","2199","601","700","1500"
"2021-2022","FULL_TIME","2100","2199","701","800","1400"
"2021-2022","FULL_TIME","2100","2199","801","900","1300"
"2021-2022","FULL_TIME","2100","2199","901","1000","1200"
"2021-2022","FULL_TIME","2100","2199","1001","1100","1100"
"2021-2022","FULL_TIME","2100","2199","1101","1200","1000"
"2021-2022","FULL_TIME","2100","2199","1201","1300","900"
"2021-2022","FULL_TIME","2100","2199","1301","1400","800"
"2021-2022","FULL_TIME","2100","2199","1401","1500","700"
"2021-2022","FULL_TIME","2200","2299","0","0","2250"
"2021-2022","FULL_TIME","2200","2299","1","100","2200"
"2021-2022","FULL_TIME","2200","2299","101","200","2100"
"2021-2022","FULL_TIME","2200","2299","201","300","2000"
"2021-2022","FULL_TIME","2200","2299","301","400","1900"
"2021-2022","FULL_TIME","2200","2299","401","500","1800"
"2021-2022","FULL_TIME","2200","2299","501","600","1700"
"2021-2022","FULL_TIME","2200","2299","601","700","1600"
"2021-2022","FULL_TIME","2200","2299","701","800","1500"
"2021-2022","FULL_TIME","2200","2299","801","900","1400"
"2021-2022","FULL_TIME","2200","2299","901","1000","1300"
"2021-2022","FULL_TIME","2200","2299","1001","1100","1200"
"2021-2022","FULL_TIME","2200","2299","1101","1200","1100"
"2021-2022","FULL_TIME","2200","2299","1201","1300","1000"
"2021-2022","FULL_TIME","2200","2299","1301","1400","900"
"2021-2022","FULL_TIME","2200","2299","1401","1500","800"
"2021-2022","FULL_TIME","2200","2299","1501","1600","700"
"2021-2022","FULL_TIME","2300","2399","0","0","2350"
"2021-2022","FULL_TIME","2300","2399","1","100","2300"
"2021-2022","FULL_TIME","2300","2399","101","200","2200"
"2021-2022","FULL_TIME","2300","2399","201","300","2100"
"2021-2022","FULL_TIME","2300","2399","301","400","2000"
"2021-2022","FULL_TIME","2300","2399","401","500","1900"
"2021-2022","FULL_TIME","2300","2399","501","600","1800"
"2021-2022","FULL_TIME","2300","2399","601","700","1700"
"2021-2022","FULL_TIME","2300","2399","701","800","1600"
"2021-2022","FULL_TIME","2300","2399","801","900","1500"
"2021-2022","FULL_TIME","2300","2399","901","1000","1400"
"2021-2022","FULL_TIME","2300","2399","1001","1100","1300"
"2021-2022","FULL_TIME","2300","2399","1101","1200","1200"
"2021-2022","FULL_TIME","2300","2399","1201","1300","1100"
"2021-2022","FULL_TIME","2300","2399","1301","1400","1000"
"2021-2022","FULL_TIME","2300","2399","1401","1500","900"
"2021-2022","FULL_TIME","2300","2399","1501","1600","800"
"2021-2022","FULL_TIME","2300","2399","1601","1700","700"
"2021-2022","FULL_TIME","2400","2499","0","0","2450"
"2021-2022","FULL_TIME","2400","2499","1","100","2400"
"2021-2022","FULL_TIME","2400","2499","101","200","2300"
"2021-2022","FULL_TIME","2400","2499","201","300","2200"
"2021-2022","FULL_TIME","2400","2499","301","400","2100"
"2021-2022","FULL_TIME","2400","2499","401","500","2000"
"2021-2022","FULL_TIME","2400","2499","501","600","1900"
"2021-2022","FULL_TIME","2400","2499","601","700","1800"
"2021-2022","FULL_TIME","2400","2499","701","800","1700"
"2021-2022","FULL_TIME","2400","2499","801","900","1600"
"2021-2022","FULL_TIME","2400","2499","901","1000","1500"
"2021-2022","FULL_TIME","2400","2499","1001","1100","1400"
"2021-2022","FULL_TIME","2400","2499","1101","1200","1300"
"2021-2022","FULL_TIME","2400","2499","1201","1300","1200"
"2021-2022","FULL_TIME","2400","2499","1301","1400","1100"
"2021-2022","FULL_TIME","2400","2499","1401","1500","1000"
"2021-2022","FULL_TIME","2400","2499","1501","1600","900"
"2021-2022","FULL_TIME","2400","2499","1601","1700","800"
"2021-2022","FULL_TIME","2400","2499","1701","1800","700"
"2021-2022","FULL_TIME","2500","2599","0","0","2550"
"2021-2022","FULL_TIME","2500","2599","1","100","2500"
"2021-2022","FULL_TIME","2500","2599","101","200","2400"
"2021-2022","FULL_TIME","2500","2599","201","300","2300"
"2021-2022","FULL_TIME","2500","2599","301","400","2200"
"2021-2022","FULL_TIME","2500","2599","401","500","2100"
"2021-2022","FULL_TIME","2500","2599","501","600","2000"
"2021-2022","FULL_TIME","2500","2599","601","700","1900"
"2021-2022","FULL_TIME","2500","2599","701","800","1800"
"2021-2022","FULL_TIME","2500","2599","801","900","1700"
"2021-2022","FULL_TIME","2500","2599","901","1000","1600"
"2021-2022","FULL_TIME","2500","2599","1001","1100","1500"
"2021-2022","FULL_TIME","2500","2599","1101","1200","1400"
"2021-2022","FULL_TIME","2500","2599","1201","1300","1300"
"2021-2022","FULL_TIME","2500","2599","1301","1400","1200"
"2021-2022","FULL_TIME","2500","2599","1401","1500","1100"
"2021-2022","FULL_TIME","2500","2599","1501","1600","1000"
"2021-2022","FULL_TIME","2500","2599","1601","1700","900"
"2021-2022","FULL_TIME","2500","2599","1701","1800","800"
"2021-2022","FULL_TIME","2500","2599","1801","1900","700"
"2021-2022","FULL_TIME","2600","2699","0","0","2650"
"2021-2022","FULL_TIME","2600","2699","1","100","2600"
"2021-2022","FULL_TIME","2600","2699","101","200","2500"
"2021-2022","FULL_TIME","2600","2699","201","300","2400"
"2021-2022","FULL_TIME","2600","2699","301","400","2300"
"2021-2022","FULL_TIME","2600","2699","401","500","2200"
"2021-2022","FULL_TIME","2600","2699","501","600","2100"
"2021-2022","FULL_TIME","2600","2699","601","700","2000"
"2021-2022","FULL_TIME","2600","2699","701","800","1900"
"2021-2022","FULL_TIME","2600","2699","801","900","1800"
"2021-2022","FULL_TIME","2600","2699","901","1000","1700"
"2021-2022","FULL_TIME","2600","2699","1001","1100","1600"
"2021-2022","FULL_TIME","2600","2699","1101","1200","1500"
"2021-2022","FULL_TIME","2600","2699","1201","1300","1400"
"2021-2022","FULL_TIME","2600","2699","1301","1400","1300"
"2021-2022","FULL_TIME","2600","2699","1401","1500","1200"
"2021-2022","FULL_TIME","2600","2699","1501","1600","1100"
"2021-2022","FULL_TIME","2600","2699","1601","1700","1000"
"2021-2022","FULL_TIME","2600","2699","1701","1800","900"
"2021-2022","FULL_TIME","2600","2699","1801","1900","800"
"2021-2022","FULL_TIME","2600","2699","1901","2000","700"
"2021-2022","FULL_TIME","2700","2799","0","0","2750"
"2021-2022","FULL_TIME","2700","2799","1","100","2700"
"2021-2022","FULL_TIME","2700","2799","101","200","2600"
"2021-2022","FULL_TIME","2700","2799","201","300","2500"
"2021-2022","FULL_TIME","2700","2799","301","400","2400"
"2021-2022","FULL_TIME","2700","2799","401","500","2300"
"2021-2022","FULL_TIME","2700","2799","501","600","2200"
"2021-2022","FULL_TIME","2700","2799","601","700","2100"
"2021-2022","FULL_TIME","2700","2799","701","800","2000"
"2021-2022","FULL_TIME","2700","2799","801","900","1900"
"2021-2022","FULL_TIME","2700","2799","901","1000","1800"
"2021-2022","FULL_TIME","2700","2799","1001","1100","1700"
"2021-2022","FULL_TIME","2700","2799","1101","1200","1600"
"2021-2022","FULL_TIME","2700","2799","1201","1300","1500"
"2021-2022","FULL_TIME","2700","2799","1301","1400","1400"
"2021-2022","FULL_TIME","2700","2799","1401","1500","1300"
"2021-2022","FULL_TIME","2700","2799","1501","1600","1200"
"2021-2022","FULL_TIME","2700","2799","1601","1700","1100"
"2021-2022","FULL_TIME","2700","2799","1701","1800","1000"
"2021-2022","FULL_TIME","2700","2799","1801","1900","900"
"2021-2022","FULL_TIME","2700","2799","1901","2000","800"
"2021-2022","FULL_TIME","2700","2799","2001","2100","700"
"2021-2022","FULL_TIME","2800","2899","0","0","2850"
"2021-2022","FULL_TIME","2800","2899","1","100","2800"
"2021-2022","FULL_TIME","2800","2899","101","200","2700"
"2021-2022","FULL_TIME","2800","2899","201","300","2600"
"2021-2022","FULL_TIME","2800","2899","301","400","2500"
"2021-2022","FULL_TIME","2800","2899","401","500","2400"
"2021-2022","FULL_TIME","2800","2899","501","600","2300"
"2021-2022","FULL_TIME","2800","2899","601","700","2200"
"2021-2022","FULL_TIME","2800","2899","701","800","2100"
"2021-2022","FULL_TIME","2800","2899","801","900","2000"
"2021-2022","FULL_TIME","2800","2899","901","1000","1900"
"2021-2022","FULL_TIME","2800","2899","1001","1100","1800"
"2021-2022","FULL_TIME","2800","2899","1101","1200","1700"
"2021-2022","FULL_TIME","2800","2899","1201","1300","1600"
"2021-2022","FULL_TIME","2800","2899","1301","1400","1500"
"2021-2022","FULL_TIME","2800","2899","1401","1500","1400"
"2021-2022","FULL_TIME","2800","2899","1501","1600","1300"
"2021-2022","FULL_TIME","2800","2899","1601","1700","1200"
"2021-2022","FULL_TIME","2800","2899","1701","1800","1100"
"2021-2022","FULL_TIME","2800","2899","1801","1900","1000"
"2021-2022","FULL_TIME","2800","2899","1901","2000","900"
"2021-2022","FULL_TIME","2800","2899","2001","2100","800"
"2021-2022","FULL_TIME","2800","2899","2101","2200","700"
"2021-2022","FULL_TIME","2900","2999","0","0","2950"
"2021-2022","FULL_TIME","2900","2999","1","100","2900"
"2021-2022","FULL_TIME","2900","2999","101","200","2800"
"2021-2022","FULL_TIME","2900","2999","201","300","2700"
"2021-2022","FULL_TIME","2900","2999","301","400","2600"
"2021-2022","FULL_TIME","2900","2999","401","500","2500"
"2021-2022","FULL_TIME","2900","2999","501","600","2400"
"2021-2022","FULL_TIME","2900","2999","601","700","2300"
"2021-2022","FULL_TIME","2900","2999","701","800","2200"
"2021-2022","FULL_TIME","2900","2999","801","900","2100"
"2021-2022","FULL_TIME","2900","2999","901","1000","2000"
"2021-2022","FULL_TIME","2900","2999","1001","1100","1900"
"2021-2022","FULL_TIME","2900","2999","1101","1200","1800"
"2021-2022","FULL_TIME","2900","2999","1201","1300","1700"
"2021-2022","FULL_TIME","2900","2999","1301","1400","1600"
"2021-2022","FULL_TIME","2900","2999","1401","1500","1500"
"2021-2022","FULL_TIME","2900","2999","1501","1600","1400"
"2021-2022","FULL_TIME","2900","2999","1601","1700","1300"
"2021-2022","FULL_TIME","2900","2999","1701","1800","1200"
"2021-2022","FULL_TIME","2900","2999","1801","1900","1100"
"2021-2022","FULL_TIME","2900","2999","1901","2000","1000"
"2021-2022","FULL_TIME","2900","2999","2001","2100","900"
"2021-2022","FULL_TIME","2900","2999","2101","2200","800"
"2021-2022","FULL_TIME","2900","2999","2201","2300","700"
"2021-2022","FULL_TIME","3000","3099","0","0","3050"
"2021-2022","FULL_TIME","3000","3099","1","100","3000"
"2021-2022","FULL_TIME","3000","3099","101","200","2900"
"2021-2022","FULL_TIME","3000","3099","201","300","2800"
"2021-2022","FULL_TIME","3000","3099","301","400","2700"
"2021-2022","FULL_TIME","3000","3099","401","500","2600"
"2021-2022","FULL_TIME","3000","3099","501","600","2500"
"2021-2022","FULL_TIME","3000","3099","601","700","2400"
"2021-2022","FULL_TIME","3000","3099","701","800","2300"
"2021-2022","FULL_TIME","3000","3099","801","900","2200"
"2021-2022","FULL_TIME","3000","3099","901","1000","2100"
"2021-2022","FULL_TIME","3000","3099","1001","1100","2000"
"2021-2022","FULL_TIME","3000","3099","1101","1200","1900"
"2021-2022","FULL_TIME","3000","3099","1201","1300","1800"
"2021-2022","FULL_TIME","3000","3099","1301","1400","1700"
"2021-2022","FULL_TIME","3000","3099","1401","1500","1600"
"2021-2022","FULL_TIME","3000","3099","1501","1600","1500"
"2021-2022","FULL_TIME","3000","3099","1601","1700","1400"
"2021-2022","FULL_TIME","3000","3099","1701","1800","1300"
"2021-2022","FULL_TIME","3000","3099","1801","1900","1200"
"2021-2022","FULL_TIME","3000","3099","1901","2000","1100"
"2021-2022","FULL_TIME","3000","3099","2001","2100","1000"
"2021-2022","FULL_TIME","3000","3099","2101","2200","900"
"2021-2022","FULL_TIME","3000","3099","2201","2300","800"
"2021-2022","FULL_TIME","3000","3099","2301","2400","700"
"2021-2022","FULL_TIME","3100","3199","0","0","3150"
"2021-2022","FULL_TIME","3100","3199","1","100","3100"
"2021-2022","FULL_TIME","3100","3199","101","200","3000"
"2021-2022","FULL_TIME","3100","3199","201","300","2900"
"2021-2022","FULL_TIME","3100","3199","301","400","2800"
"2021-2022","FULL_TIME","3100","3199","401","500","2700"
"2021-2022","FULL_TIME","3100","3199","501","600","2600"
"2021-2022","FULL_TIME","3100","3199","601","700","2500"
"2021-2022","FULL_TIME","3100","3199","701","800","2400"
"2021-2022","FULL_TIME","3100","3199","801","900","2300"
"2021-2022","FULL_TIME","3100","3199","901","1000","2200"
"2021-2022","FULL_TIME","3100","3199","1001","1100","2100"
"2021-2022","FULL_TIME","3100","3199","1101","1200","2000"
"2021-2022","FULL_TIME","3100","3199","1201","1300","1900"
"2021-2022","FULL_TIME","3100","3199","1301","1400","1800"
"2021-2022","FULL_TIME","3100","3199","1401","1500","1700"
"2021-2022","FULL_TIME","3100","3199","1501","1600","1600"
"2021-2022","FULL_TIME","3100","3199","1601","1700","1500"
"2021-2022","FULL_TIME","3100","3199","1701","1800","1400"
"2021-2022","FULL_TIME","3100","3199","1801","1900","1300"
"2021-2022","FULL_TIME","3100","3199","1901","2000","1200"
"2021-2022","FULL_TIME","3100","3199","2001","2100","1100"
"2021-2022","FULL_TIME","3100","3199","2101","2200","1000"
"2021-2022","FULL_TIME","3100","3199","2201","2300","900"
"2021-2022","FULL_TIME","3100","3199","2301","2400","800"
"2021-2022","FULL_TIME","3100","3199","2401","2500","700"
"2021-2022","FULL_TIME","3200","3299","0","0","3250"
"2021-2022","FULL_TIME","3200","3299","1","100","3200"
"2021-2022","FULL_TIME","3200","3299","101","200","3100"
"2021-2022","FULL_TIME","3200","3299","201","300","3000"
"2021-2022","FULL_TIME","3200","3299","301","400","2900"
"2021-2022","FULL_TIME","3200","3299","401","500","2800"
"2021-2022","FULL_TIME","3200","3299","501","600","2700"
"2021-2022","FULL_TIME","3200","3299","601","700","2600"
"2021-2022","FULL_TIME","3200","3299","701","800","2500"
"2021-2022","FULL_TIME","3200","3299","801","900","2400"
"2021-2022","FULL_TIME","3200","3299","901","1000","2300"
"2021-2022","FULL_TIME","3200","3299","1001","1100","2200"
"2021-2022","FULL_TIME","3200","3299","1101","1200","2100"
"2021-2022","FULL_TIME","3200","3299","1201","1300","2000"
"2021-2022","FULL_TIME","3200","3299","1301","1400","1900"
"2021-2022","FULL_TIME","3200","3299","1401","1500","1800"
"2021-2022","FULL_TIME","3200","3299","1501","1600","1700"
"2021-2022","FULL_TIME","3200","3299","1601","1700","1600"
"2021-2022","FULL_TIME","3200","3299","1701","1800","1500"
"2021-2022","FULL_TIME","3200","3299","1801","1900","1400"
"2021-2022","FULL_TIME","3200","3299","1901","2000","1300"
"2021-2022","FULL_TIME","3200","3299","2001","2100","1200"
"2021-2022","FULL_TIME","3200","3299","2101","2200","1100"
"2021-2022","FULL_TIME","3200","3299","2201","2300","1000"
"2021-2022","FULL_TIME","3200","3299","2301","2400","900"
"2021-2022","FULL_TIME","3200","3299","2401","2500","800"
"2021-2022","FULL_TIME","3200","3299","2501","2600","700"
"2021-2022","FULL_TIME","3300","3399","0","0","3350"
"2021-2022","FULL_TIME","3300","3399","1","100","3300"
"2021-2022","FULL_TIME","3300","3399","101","200","3200"
"2021-2022","FULL_TIME","3300","3399","201","300","3100"
"2021-2022","FULL_TIME","3300","3399","301","400","3000"
"2021-2022","FULL_TIME","3300","3399","401","500","2900"
"2021-2022","FULL_TIME","3300","3399","501","600","2800"
"2021-2022","FULL_TIME","3300","3399","601","700","2700"
"2021-2022","FULL_TIME","3300","3399","701","800","2600"
"2021-2022","FULL_TIME","3300","3399","801","900","2500"
"2021-2022","FULL_TIME","3300","3399","901","1000","2400"
"2021-2022","FULL_TIME","3300","3399","1001","1100","2300"
"2021-2022","FULL_TIME","3300","3399","1101","1200","2200"
"2021-2022","FULL_TIME","3300","3399","1201","1300","2100"
"2021-2022","FULL_TIME","3300","3399","1301","1400","2000"
"2021-2022","FULL_TIME","3300","3399","1401","1500","1900"
"2021-2022","FULL_TIME","3300","3399","1501","1600","1800"
"2021-2022","FULL_TIME","3300","3399","1601","1700","1700"
"2021-2022","FULL_TIME","3300","3399","1701","1800","1600"
"2021-2022","FULL_TIME","3300","3399","1801","1900","1500"
"2021-2022","FULL_TIME","3300","3399","1901","2000","1400"
"2021-2022","FULL_TIME","3300","3399","2001","2100","1300"
"2021-2022","FULL_TIME","3300","3399","2101","2200","1200"
"2021-2022","FULL_TIME","3300","3399","2201","2300","1100"
"2021-2022","FULL_TIME","3300","3399","2301","2400","1000"
"2021-2022","FULL_TIME","3300","3399","2401","2500","900"
"2021-2022","FULL_TIME","3300","3399","2501","2600","800"
"2021-2022","FULL_TIME","3300","3399","2601","2700","700"
"2021-2022","FULL_TIME","3400","3499","0","0","3450"
"2021-2022","FULL_TIME","3400","3499","1","100","3400"
"2021-2022","FULL_TIME","3400","3499","101","200","3300"
"2021-2022","FULL_TIME","3400","3499","201","300","3200"
"2021-2022","FULL_TIME","3400","3499","301","400","3100"
"2021-2022","FULL_TIME","3400","3499","401","500","3000"
"2021-2022","FULL_TIME","3400","3499","501","600","2900"
"2021-2022","FULL_TIME","3400","3499","601","700","2800"
"2021-2022","FULL_TIME","3400","3499","701","800","2700"
"2021-2022","FULL_TIME","3400","3499","801","900","2600"
"2021-2022","FULL_TIME","3400","3499","901","1000","2500"
"2021-2022","FULL_TIME","3400","3499","1001","1100","2400"
"2021-2022","FULL_TIME","3400","3499","1101","1200","2300"
"2021-2022","FULL_TIME","3400","3499","1201","1300","2200"
"2021-2022","FULL_TIME","3400","3499","1301","1400","2100"
"2021-2022","FULL_TIME","3400","3499","1401","1500","2000"
"2021-2022","FULL_TIME","3400","3499","1501","1600","1900"
"2021-2022","FULL_TIME","3400","3499","1601","1700","1800"
"2021-2022","FULL_TIME","3400","3499","1701","1800","1700"
"2021-2022","FULL_TIME","3400","3499","1801","1900","1600"
"2021-2022","FULL_TIME","3400","3499","1901","2000","1500"
"2021-2022","FULL_TIME","3400","3499","2001","2100","1400"
"2021-2022","FULL_TIME","3400","3499","2101","2200","1300"
"2021-2022","FULL_TIME","3400","3499","2201","2300","1200"
"2021-2022","FULL_TIME","3400","3499","2301","2400","1100"
"2021-2022","FULL_TIME","3400","3499","2401","2500","1000"
"2021-2022","FULL_TIME","3400","3499","2501","2600","900"
"2021-2022","FULL_TIME","3400","3499","2601","2700","800"
"2021-2022","FULL_TIME","3400","3499","2701","2800","700"
"2021-2022","FULL_TIME","3500","3599","0","0","3550"
"2021-2022","FULL_TIME","3500","3599","1","100","3500"
"2021-2022","FULL_TIME","3500","3599","101","200","3400"
"2021-2022","FULL_TIME","3500","3599","201","300","3300"
"2021-2022","FULL_TIME","3500","3599","301","400","3200"
"2021-2022","FULL_TIME","3500","3599","401","500","3100"
"2021-2022","FULL_TIME","3500","3599","501","600","3000"
"2021-2022","FULL_TIME","3500","3599","601","700","2900"
"2021-2022","FULL_TIME","3500","3599","701","800","2800"
"2021-2022","FULL_TIME","3500","3599","801","900","2700"
"2021-2022","FULL_TIME","3500","3599","901","1000","2600"
"2021-2022","FULL_TIME","3500","3599","1001","1100","2500"
"2021-2022","FULL_TIME","3500","3599","1101","1200","2400"
"2021-2022","FULL_TIME","3500","3599","1201","1300","2300"
"2021-2022","FULL_TIME","3500","3599","1301","1400","2200"
"2021-2022","FULL_TIME","3500","3599","1401","1500","2100"
"2021-2022","FULL_TIME","3500","3599","1501","1600","2000"
"2021-2022","FULL_TIME","3500","3599","1601","1700","1900"
"2021-2022","FULL_TIME","3500","3599","1701","1800","1800"
"2021-2022","FULL_TIME","3500","3599","1801","1900","1700"
"2021-2022","FULL_TIME","3500","3599","1901","2000","1600"
"2021-2022","FULL_TIME","3500","3599","2001","2100","1500"
"2021-2022","FULL_TIME","3500","3599","2101","2200","1400"
"2021-2022","FULL_TIME","3500","3599","2201","2300","1300"
"2021-2022","FULL_TIME","3500","3599","2301","2400","1200"
"2021-2022","FULL_TIME","3500","3599","2401","2500","1100"
"2021-2022","FULL_TIME","3500","3599","2501","2600","1000"
"2021-2022","FULL_TIME","3500","3599","2601","2700","900"
"2021-2022","FULL_TIME","3500","3599","2701","2800","800"
"2021-2022","FULL_TIME","3500","3599","2801","2900","700"
"2021-2022","FULL_TIME","3600","3699","0","0","3650"
"2021-2022","FULL_TIME","3600","3699","1","100","3600"
"2021-2022","FULL_TIME","3600","3699","101","200","3500"
"2021-2022","FULL_TIME","3600","3699","201","300","3400"
"2021-2022","FULL_TIME","3600","3699","301","400","3300"
